To industry / sector,,"D01T02: Agriculture, hunting, forestry",D03: Fishing and aquaculture,"D05T06: Mining and quarrying, energy producing products","D07T08: Mining and quarrying, non-energy producing products",D09: Mining support service activities,"D10T12: Food products, beverages and tobacco","D13T15: Textiles, textile products, leather and footwear",D16: Wood and products of wood and cork,D17T18: Paper products and printing,D19: Coke and refined petroleum products,D20: Chemical and chemical products,"D21: Pharmaceuticals, medicinal chemical and botanical products",D22: Rubber and plastics products,D23: Other non-metallic mineral products,D24: Basic metals,D25: Fabricated metal products,"D26: Computer, electronic and optical equipment",D27: Electrical equipment,"D28: Machinery and equipment, nec","D29: Motor vehicles, trailers and semi-trailers",D30: Other transport equipment,D31T33: Manufacturing nec; repair and installation of machinery and equipment,"D35: Electricity, gas, steam and air conditioning supply","D36T39: Water supply; sewerage, waste management and remediation activities",D41T43: Construction,D45T47: Wholesale and retail trade; repair of motor vehicles,D49: Land transport and transport via pipelines,D50: Water transport,D51: Air transport,D52: Warehousing and support activities for transportation,D53: Postal and courier activities,D55T56: Accommodation and food service activities,"D58T60: Publishing, audiovisual and broadcasting activities",D61: Telecommunications,D62T63: IT and other information services,D64T66: Financial and insurance activities,D68: Real estate activities,"D69T75: Professional, scientific and technical activities",D77T82: Administrative and support services,D84: Public administration and defence; compulsory social security,D85: Education,D86T88: Human health and social work activities,"D90T93: Arts, entertainment and recreation",D94T96: Other service activities,D97T98: Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,HFCE: Final consumption expenditure of households,NPISH: Final consumption expenditure of non-profit institutions serving households,GGFC: Final consumption expenditure of general government,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
TTL_52: Warehousing and support activities for transportation,,"4,502.000 ",549.800 ,"1,662.800 ","1,164.200 ",59.800 ,"7,623.100 ","5,023.000 ","1,126.200 ","1,742.800 ","1,853.200 ","6,321.900 ","1,053.800 ","2,352.200 ","5,502.100 ","8,340.900 ","2,735.200 ","5,157.900 ","4,007.500 ","5,107.300 ","3,138.600 ",734.900 ,"1,097.000 ","3,147.100 ",535.100 ,"12,189.000 ","4,647.800 ","13,982.900 ","2,426.600 ",612.500 ,"1,834.700 ",666.500 ,"1,280.200 ",335.900 ,593.400 ,637.000 ,256.600 ,242.600 ,"2,035.500 ","1,617.500 ",652.500 ,328.200 ,606.800 ,250.400 ,363.400 ,0.000 ,"10,875.000 ",12.800 ,781.100 ,"6,329.800 ",182.600 ,306.900 ,48.900 ,"12,565.700 ","-18,513.200 "
TTL_53: Postal and courier activities,,"1,465.100 ",196.700 ,625.700 ,260.300 ,7.300 ,"1,288.300 ",430.200 ,163.800 ,416.300 ,103.500 ,"1,206.700 ",557.000 ,367.900 ,"1,018.600 ","1,051.000 ",753.600 ,825.300 ,"1,193.000 ","1,576.400 ",806.100 ,68.900 ,285.700 ,106.300 ,370.900 ,"2,364.300 ","7,686.700 ",694.400 ,17.800 ,81.600 ,318.200 ,"7,291.400 ",613.100 ,383.100 ,"1,370.000 ","1,089.500 ","7,321.800 ",825.100 ,"1,822.400 ","1,088.000 ","12,500.200 ","1,877.700 ",215.900 ,240.600 ,729.000 ,0.000 ,"7,143.200 ",9.300 ,30.200 ,779.000 ,0.300 ,177.800 ,58.300 ,5.200 ,-329.200 
TTL_55T56: Accommodation and food service activities,,"1,558.800 ",108.500 ,"1,599.700 ","1,904.600 ",84.300 ,"4,952.800 ","2,208.000 ",645.800 ,"1,670.700 ",278.900 ,"4,625.300 ","3,030.400 ","1,680.100 ","5,331.500 ","2,804.600 ","3,643.900 ","4,228.400 ","4,378.700 ","8,150.800 ","2,508.200 ",598.100 ,953.000 ,"1,676.100 ","2,149.200 ","15,515.400 ","9,667.600 ","11,529.300 ",112.200 ,"1,418.600 ","1,255.800 ",979.200 ,610.400 ,"3,742.500 ","2,388.600 ","2,289.200 ","20,898.500 ","4,309.500 ","17,707.400 ","13,177.800 ","22,994.600 ","7,914.400 ","1,266.200 ","1,002.800 ","1,880.700 ",0.000 ,"168,221.800 ",306.500 ,24.400 ,22.300 ,0.100 ,"36,335.200 ","9,353.000 ",0.000 ,"-36,585.100 "
"TTL_58T60: Publishing, audiovisual and broadcasting activities",,28.500 ,1.200 ,232.600 ,246.300 ,6.700 ,458.300 ,469.600 ,104.000 ,221.700 ,45.900 ,498.200 ,286.000 ,361.500 ,804.000 ,647.200 ,420.500 ,668.900 ,602.300 ,"1,090.100 ",233.800 ,50.600 ,129.700 ,872.000 ,272.700 ,"1,459.700 ",637.100 ,653.000 ,21.300 ,145.800 ,95.500 ,184.800 ,306.200 ,"1,770.800 ","1,420.800 ",118.300 ,867.300 ,764.000 ,589.200 ,253.700 ,"3,881.100 ","1,283.800 ",271.000 ,267.100 ,260.000 ,0.000 ,"19,898.800 ",237.300 ,"15,435.700 ","5,142.000 ",212.900 ,628.100 ,275.600 ,"11,569.000 ","-13,943.500 "
TTL_61: Telecommunications,,"1,196.400 ",120.000 ,329.500 ,469.000 ,13.800 ,801.200 ,641.400 ,164.700 ,375.900 ,46.600 ,879.300 ,377.600 ,312.300 ,"1,081.000 ",556.600 ,814.300 ,"1,400.800 ",870.300 ,"1,807.600 ",447.700 ,88.400 ,225.100 ,"1,329.300 ",752.300 ,"26,707.700 ","3,148.100 ","2,408.200 ","1,318.500 ",367.900 ,614.300 ,"1,432.800 ","1,049.200 ",845.500 ,"36,812.900 ","20,643.700 ","8,504.000 ","2,779.300 ","1,929.000 ","1,015.300 ","12,900.000 ","4,537.200 ","2,126.000 ",353.400 ,493.700 ,0.000 ,"76,324.700 ",36.100 ,42.300 ,128.100 ,140.400 ,"2,519.200 ","1,087.800 ","5,572.300 ","-3,558.700 "
TTL_62T63: IT and other information services,,263.200 ,1.200 ,367.200 ,671.900 ,74.400 ,611.900 ,"1,174.100 ",212.500 ,404.600 ,100.200 ,641.600 ,128.300 ,448.500 ,"1,474.100 ",994.900 ,948.000 ,"8,148.300 ",768.000 ,"2,142.800 ",304.000 ,78.300 ,331.800 ,"2,070.400 ",733.500 ,"6,947.800 ","3,348.700 ",853.000 ,266.000 ,877.800 ,476.600 ,903.900 ,260.600 ,841.000 ,"6,809.400 ","30,878.000 ","7,934.400 ",949.800 ,"1,851.500 ","1,194.700 ","3,173.100 ","1,042.400 ",402.000 ,759.400 ,342.100 ,0.000 ,"9,151.900 ",62.200 ,81.500 ,"227,314.800 ",464.600 ,77.200 ,13.600 ,"19,688.900 ","-16,386.000 "
TTL_64T66: Financial and insurance activities,,"13,922.400 ","2,567.400 ","14,256.400 ","7,304.300 ",378.200 ,"10,858.000 ","7,577.100 ","2,428.200 ","6,630.100 ","2,825.400 ","18,904.000 ","3,589.700 ","5,244.400 ","16,959.600 ","37,434.600 ","9,928.300 ","21,127.700 ","11,304.400 ","18,247.300 ","7,874.500 ","2,764.600 ","2,516.200 ","31,275.900 ","6,579.200 ","66,080.700 ","53,659.000 ","52,648.400 ","3,673.200 ","3,302.600 ","7,150.700 ",585.900 ,"3,436.500 ","1,130.800 ","10,526.600 ","11,207.900 ","43,804.300 ","69,563.700 ","26,740.000 ","18,373.400 ","13,501.100 ","10,978.100 ","2,309.900 ","3,695.200 ","1,868.200 ",0.000 ,"171,943.100 ",475.200 ,"15,933.100 ",287.000 ,650.900 ,"2,164.800 ",933.700 ,"6,867.900 ","-36,472.200 "
TTL_68: Real estate activities,,24.000 ,0.300 ,117.100 ,53.100 ,9.600 ,290.700 ,407.000 ,83.500 ,251.100 ,48.400 ,222.800 ,39.500 ,407.000 ,561.900 ,285.200 ,471.800 ,887.500 ,509.400 ,840.400 ,257.300 ,80.000 ,243.800 ,146.400 ,415.100 ,241.700 ,"75,468.900 ",868.500 ,13.700 ,413.400 ,"1,171.700 ",827.200 ,"2,985.300 ",588.500 ,"5,842.800 ","7,848.100 ","27,823.000 ","26,687.900 ","4,597.900 ","3,550.500 ","5,255.600 ","3,215.000 ","1,210.200 ",707.200 ,"7,962.800 ",0.000 ,"416,891.600 ",556.000 ,14.600 ,"127,544.900 ",75.200 ,"4,099.900 ","3,010.800 ","2,436.300 ","-7,612.200 "
"TTL_69T75: Professional, scientific and technical activities",,"5,230.600 ",221.400 ,"6,427.500 ","4,325.100 ",216.400 ,"8,382.200 ","3,362.200 ","1,092.900 ","3,251.600 ","1,187.400 ","12,896.300 ","7,715.900 ","4,954.600 ","7,821.200 ","7,995.300 ","5,726.900 ","16,946.500 ","10,970.900 ","17,774.300 ","12,960.100 ","1,537.400 ","2,119.900 ","2,950.900 ","1,055.800 ","44,959.300 ","77,832.000 ","2,263.200 ",593.700 ,388.800 ,"1,301.100 ","1,163.600 ","1,302.500 ",946.000 ,"7,749.700 ","10,948.200 ","21,829.700 ","22,159.900 ","26,389.300 ","4,908.600 ","1,366.800 ","2,218.000 ",272.400 ,715.700 ,"1,178.900 ",0.000 ,"2,537.600 ",440.200 ,"104,906.800 ","19,389.200 ",939.400 ,"1,027.300 ",466.300 ,"28,854.400 ","-24,848.800 "
TTL_77T82: Administrative and support services,,763.500 ,89.300 ,"7,387.000 ","5,030.600 ",129.800 ,"10,833.300 ","6,157.500 ","1,180.100 ","3,100.600 ","1,605.500 ","8,346.100 ","6,536.500 ","3,983.700 ","9,329.300 ","7,814.600 ","6,642.000 ","11,250.500 ","9,718.300 ","14,888.500 ","14,500.200 ","1,486.600 ","3,370.200 ","2,943.100 ","1,616.800 ","14,228.700 ","98,998.500 ","6,749.300 ",953.900 ,"1,151.700 ","3,251.200 ","1,799.600 ","2,617.600 ","1,511.900 ","10,726.600 ","9,618.100 ","29,230.700 ","20,538.900 ","12,605.600 ","16,682.300 ","9,935.600 ","2,191.900 ",409.600 ,"2,029.400 ","2,039.100 ",0.000 ,"25,360.800 ",337.300 ,"25,932.700 ","12,144.900 ",412.800 ,"1,629.200 ",949.200 ,"14,132.400 ","-18,186.700 "
TTL_84: Public administration and defence; compulsory social security,,504.600 ,39.700 ,151.600 ,180.500 ,5.600 ,383.400 ,173.900 ,120.100 ,115.700 ,24.300 ,308.200 ,132.300 ,179.000 ,307.400 ,909.400 ,238.200 ,793.500 ,326.800 ,492.600 ,"1,135.800 ",114.500 ,115.800 ,143.800 ,119.500 ,881.100 ,594.300 ,211.600 ,44.800 ,31.800 ,72.100 ,54.900 ,64.200 ,69.200 ,579.900 ,420.600 ,408.400 ,917.800 ,"2,051.100 ","1,882.400 ","2,390.000 ",394.800 ,105.500 ,74.100 ,180.200 ,0.000 ,"3,333.400 ",503.600 ,"538,202.100 ",157.900 ,0.800 ,298.400 ,0.000 ,0.000 ,"-2,395.600 "
TTL_85: Education,,155.200 ,10.700 ,210.300 ,95.900 ,2.700 ,179.300 ,103.000 ,24.300 ,79.100 ,22.500 ,170.400 ,73.400 ,63.200 ,211.600 ,115.100 ,171.300 ,181.300 ,132.000 ,323.200 ,177.700 ,38.200 ,60.300 ,81.500 ,228.400 ,"1,092.900 ",815.900 ,380.400 ,8.200 ,37.600 ,33.000 ,34.000 ,81.700 ,118.400 ,311.200 ,115.900 ,"1,812.000 ",238.700 ,469.200 ,182.800 ,"3,482.400 ","4,222.000 ",365.900 ,110.900 ,71.200 ,0.000 ,"69,076.600 ","3,636.400 ","294,798.900 ",69.700 ,0.100 ,"22,498.800 ",689.800 ,0.000 ,"-22,951.600 "
TTL_86T88: Human health and social work activities,,115.100 ,2.000 ,113.200 ,96.100 ,0.400 ,65.500 ,97.000 ,28.700 ,67.400 ,192.300 ,105.800 ,38.700 ,22.000 ,215.400 ,254.500 ,216.800 ,197.300 ,208.500 ,460.300 ,153.200 ,46.700 ,20.700 ,201.400 ,31.000 ,576.000 ,356.000 ,205.100 ,10.100 ,4.400 ,26.500 ,1.700 ,18.300 ,22.400 ,10.900 ,13.900 ,134.900 ,5.500 ,36.900 ,19.000 ,"1,402.800 ",119.600 ,888.900 ,19.800 ,35.700 ,0.000 ,"111,845.600 ","5,735.200 ","191,468.300 ",78.200 ,0.000 ,"1,783.400 ",737.500 ,0.000 ,"-2,445.800 "
"TTL_90T93: Arts, entertainment and recreation",,33.600 ,2.400 ,136.000 ,131.000 ,3.100 ,274.700 ,147.000 ,38.300 ,116.900 ,21.400 ,239.500 ,93.800 ,116.800 ,291.100 ,195.900 ,220.800 ,216.600 ,213.900 ,426.300 ,147.300 ,32.500 ,63.100 ,338.100 ,135.000 ,"1,130.500 ",735.300 ,156.400 ,20.200 ,17.700 ,143.400 ,90.100 ,205.700 ,236.900 ,328.400 ,150.300 ,"2,789.100 ",522.800 ,730.600 ,653.200 ,"1,801.200 ",103.300 ,87.100 ,"1,303.200 ",209.400 ,0.000 ,"13,132.800 ","1,849.000 ","76,865.000 ",33.800 ,16.700 ,"4,089.200 ","1,794.900 ","2,825.400 ","-9,004.900 "
TTL_94T96: Other service activities,,990.700 ,106.200 ,"1,132.700 ",386.400 ,14.700 ,"1,124.200 ",724.100 ,137.600 ,518.300 ,302.300 ,"1,092.900 ",236.100 ,400.600 ,"1,049.800 ","1,174.800 ",812.600 ,"1,138.100 ",993.500 ,"1,770.800 ","6,433.800 ",162.000 ,241.900 ,840.400 ,811.300 ,"7,174.500 ","12,346.400 ","3,584.400 ",129.800 ,105.300 ,"1,316.800 ","1,636.800 ",518.400 ,"1,051.400 ",344.200 ,217.500 ,351.700 ,644.900 ,"3,058.900 ","2,657.100 ","3,977.700 ","4,073.400 ","2,214.900 ","1,785.400 ","2,667.500 ",0.000 ,"90,089.900 ","18,394.900 ",409.600 ,"4,298.100 ",-6.200 ,"2,287.700 ",966.200 ,989.200 ,"-2,558.200 "
TTL_97T98: Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
TXS_IMP_FNL: Taxes less subsidies on intermediate and final products (paid in foreign countries),,-2.000 ,0.000 ,-0.100 ,0.000 ,0.000 ,-0.200 ,0.000 ,-5.000 ,-0.400 ,0.000 ,-0.800 ,0.000 ,-2.500 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,-0.500 ,0.000 ,0.000 ,-1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,"4,282.500 ",0.000 ,0.000 ,"-4,269.700 "
"TXS_INT_FNL: Taxes less subsidies on intermediate and final products (paid in domestic agencies, includes duty on imported products)",,"-5,931.500 ","1,496.100 ","8,751.700 ","6,568.900 ",435.100 ,"6,516.100 ","25,161.000 ","2,492.200 ","4,576.800 ","9,957.300 ","38,687.800 ","1,438.500 ","9,542.700 ","18,101.400 ","31,794.800 ","9,375.300 ","42,128.200 ","17,197.900 ","25,630.000 ","67,358.300 ","3,912.200 ","4,780.900 ","22,565.900 ","3,646.800 ","38,742.100 ","15,419.600 ","30,787.300 ","3,793.600 ","5,150.000 ","2,776.200 ","1,258.300 ","9,221.500 ","2,121.000 ","8,146.700 ","7,077.900 ","7,642.400 ","8,231.400 ","14,752.000 ","13,547.800 ","11,114.300 ","3,691.000 ","5,815.000 ","2,209.500 ","2,461.800 ",0.000 ,"136,765.700 ",352.300 ,"1,915.800 ","160,324.500 ",0.000 ,0.000 ,-789.700 ,0.000 ,0.000 
TTL_INT_FNL: Total intermediate consumption at purchasers’ prices,,"703,796.300 ","76,398.500 ","256,260.000 ","159,048.300 ","11,971.300 ","1,135,860.300 ","912,859.800 ","161,250.900 ","268,400.400 ","374,375.300 ","992,342.800 ","211,506.300 ","372,634.500 ","634,983.400 ","1,179,260.400 ","429,780.300 ","912,428.900 ","651,126.900 ","845,797.800 ","895,700.400 ","136,612.300 ","169,804.400 ","601,754.700 ","85,166.400 ","1,914,429.000 ","507,231.400 ","400,465.200 ","34,437.400 ","60,258.300 ","82,642.900 ","39,621.100 ","228,580.100 ","45,404.900 ","180,683.800 ","196,364.300 ","221,803.100 ","210,844.900 ","349,286.200 ","252,435.100 ","239,289.700 ","105,805.600 ","153,667.500 ","49,731.100 ","60,388.300 ",0.000 ,"3,314,511.000 ","34,245.600 ","1,521,898.000 ","4,259,996.000 ","135,428.400 ","120,123.700 ","39,453.200 ","2,021,435.000 ","-1,879,690.000 "
VALU: Value added at basic prices,,"722,635.300 ","82,273.000 ","236,484.700 ","128,571.600 ","9,750.300 ","359,281.000 ","246,245.700 ","45,755.000 ","80,367.300 ","113,449.900 ","219,452.000 ","83,759.600 ","79,560.900 ","181,022.300 ","212,804.900 ","113,726.300 ","235,620.600 ","165,823.900 ","249,596.700 ","200,883.200 ","38,176.800 ","51,021.700 ","220,787.300 ","44,979.600 ","601,877.500 ","828,402.800 ","256,332.500 ","20,919.300 ","24,044.800 ","50,045.100 ","31,928.100 ","150,529.300 ","18,053.700 ","46,696.100 ","137,310.100 ","607,714.500 ","520,104.800 ","162,037.100 ","196,251.100 ","319,255.800 ","278,907.700 ","162,393.200 ","56,920.900 ","126,935.600 ",0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
OUTPUT: Output at basic prices,,"1,426,431.600 ","158,671.500 ","492,744.800 ","287,619.900 ","21,721.600 ","1,495,141.300 ","1,159,105.500 ","207,005.900 ","348,767.600 ","487,825.200 ","1,211,794.800 ","295,265.900 ","452,195.300 ","816,005.700 ","1,392,065.300 ","543,506.600 ","1,148,049.500 ","816,950.900 ","1,095,394.500 ","1,096,583.600 ","174,789.100 ","220,826.100 ","822,542.100 ","130,145.900 ","2,516,306.000 ","1,335,634.000 ","656,797.600 ","55,356.700 ","84,303.100 ","132,688.000 ","71,549.200 ","379,109.400 ","63,458.700 ","227,379.900 ","333,674.500 ","829,517.600 ","730,949.700 ","511,323.200 ","448,686.300 ","558,545.500 ","384,713.300 ","316,060.700 ","106,651.900 ","187,323.900 ",0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
Data extracted on 02 Oct 2023 08:48 UTC (GMT) from OECD.Stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
